Unit_Code,Foray_Name,Protocol_Name,Start_Date,Genus,Species,Host,Collection_Number,Voucher_Specimen,Outside_Plot,Comments,NPS_Accession_Num,NPS_Catalog_Num,Collector
CATO,Owens Creek,Plot,8/5/06,Marasmius,pyrrocephalus,Litter,574,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,7/21/06,No ID,,Dead Hardwood,477,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,8/5/06,Panellus,stipticus,Dead Hardwood,561,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,7/21/06,Marasmius,siccus,Litter,476,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,9/17/06,Mycena,luteopallens,Litter,647,TRUE,FALSE,,152,2334,Lauraine Hawkins
CATO,Owens Creek,Plot,9/17/06,Crepidotus,mollis,Dead Hardwood,664,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,8/7/05,No ID,,Dead Hardwood,142,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,7/21/06,,,Dead Hardwood,467,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,8/5/06,Marasmius,delectans,Litter,558,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,7/21/06,Marasmius,sp.,Litter,474,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,7/21/06,Xeromphalina,tenuipes,Litter,489,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,7/21/06,Thelephora,palmata,Litter,472,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,7/21/06,Marasmiellus,nigripes,Litter,479,TRUE,FALSE,,152,2342,Lauraine Hawkins
CATO,Owens Creek,Plot,7/21/06,Marasmius,pyrrocephalus,Litter,469,TRUE,FALSE,,152,2336,Lauraine Hawkins
CATO,Owens Creek,Plot,7/21/06,Stereum,ostrea,Hardwood branch on ground,481,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,7/21/06,No ID,,Litter,490,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,7/21/06,Sarcoscypha,occidentalis,Rotting Hardwood,480,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,7/21/06,No ID,,Litter,482,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,7/21/06,Trichaptum,biforme,Dead Hardwood,494,TRUE,FALSE,,152,2326,Elizabeth Brantley
CATO,Owens Creek,Plot,7/21/06,Xeromphalina,tenuipes,Litter,483,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,7/21/06,Clitocybe,sp.,Dead Hardwood,473,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,7/21/06,No ID,,Dead Hardwood,471,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,7/21/06,Gymnopus,dryophilus,Litter,488,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,7/21/06,Polyporus,varius,Litter,464,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,8/7/05,Xerula,furfuracea,Buried Wood,130,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,8/7/05,No ID,,Litter,137,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,8/7/05,Stereum,sp.,Dead Hardwood,132,TRUE,FALSE,,152,2285,Lauraine Hawkins
CATO,Owens Creek,Plot,8/7/05,No ID,,Litter,145,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,8/7/05,Boletus,chrysenteron,Duff/Soil,152,TRUE,TRUE,,152,2344,Elizabeth Brantley
CATO,Owens Creek,Plot,8/7/05,No ID,,Buried Wood,146,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,8/7/05,Marasmius,siccus,Litter,139,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,8/7/05,Chlorociboria,aeruginascens,Dead Hardwood,150,TRUE,FALSE,,152,2290,Lauraine Hawkins
CATO,Owens Creek,Plot,8/7/05,Schizophyllum,commune,Dead Hardwood,134,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,8/7/05,Trametes,ochracea,,140,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,8/7/05,Boletellus,chrysenteroides,Deer Dung,136,TRUE,FALSE,,152,2343,Elizabeth Brantley
CATO,Owens Creek,Plot,8/7/05,Collybia,sp.,Litter,135,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,8/7/05,Daedaleopsis,confragosa,Dead Hardwood,143,TRUE,FALSE,,152,2287,Lauraine Hawkins
CATO,Owens Creek,Plot,7/21/06,No ID,,Litter,486,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,7/21/06,Marasmius,capillaris,Hardwood leaf vein,485,TRUE,FALSE,,152,2339,Lauraine Hawkins
CATO,Owens Creek,Plot,7/21/06,Trametes,versicolor,Dead Hardwood,491,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,7/21/06,Galiella,rufa,Litter,468,TRUE,FALSE,,152,2325,Lauraine Hawkins
CATO,Owens Creek,Plot,9/17/06,No ID,,Soil,673,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,8/5/06,No ID,,Dead Hardwood,564,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,8/7/05,Lycoperdon,perlatum,Litter,133,TRUE,FALSE,,152,2286,Lauraine Hawkins
CATO,Owens Creek,Plot,7/21/06,No ID,,Litter,470,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,8/5/06,Megacollybia,platyphylla,Litter,560,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,7/21/06,Amanita,sp.,Litter,492,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,7/21/06,Crepidotus,sp.,Dead Hardwood,493,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,7/21/06,Clitocybe,gibba,Buried Wood,487,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,7/21/06,Scleroderma,areolatum,Buried Wood,466,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,7/9/05,Daedaleopsis,confragosa,Dead Hardwood,17,TRUE,FALSE,,152,2273,Lauraine Hawkins
CATO,Owens Creek,Plot,7/21/06,Cortinarius,sp.,Litter,484,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,8/7/05,Phellinus,laevigatus,Dead Hardwood,147,TRUE,FALSE,,152,2289,Lauraine Hawkins
CATO,Owens Creek,Plot,7/21/06,Marasmius,sp.,Buried Wood,465,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,8/5/06,Polyporus,varius,Rotting Hardwood,555,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,8/7/05,Xylaria,polymorpha,Litter,144,TRUE,FALSE,,152,2288,Lauraine Hawkins
CATO,Owens Creek,Plot,8/7/05,Russula,sp.,Litter,138,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,8/7/05,Mycena,leaiana,Dead Hardwood,141,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,8/7/05,Sarcoscypha,occidentalis,Dead Hardwood,128,FALSE,FALSE,,,,
